dataset,term,ratio_code,imputation_method,window_idx,distribution_gap,smape,smape_diff_vs_clean
ETTh1,long,030,backward,9,1.551401948399441,199.9779305871398,-0.022069412860190596
ETTh1,long,030,backward,10,2.005126408988896,200.0,0.0
ETTh1,long,030,backward,11,1.3393210013561438,196.0248901111258,-1.8313240119909437
ETTh1,long,030,backward,12,1.584344354349408,43.8157601029745,11.200386875812072
ETTh1,long,030,backward,13,1.6656341694842536,39.80583327588895,-15.17905722153396
ETTh1,long,030,backward,14,1.622052255255069,26.607993796163193,-11.694349499228998
ETTh2,long,010,backward,0,1.5352162987447469,46.39877266046516,-1.3979388630383625
ETTh2,long,010,backward,1,1.9207336207545758,27.52143567818836,-4.732947504702892
ETTh2,long,010,backward,2,1.7007665500965103,58.79254525285993,-3.2198047824055394
ETTh2,long,010,backward,3,1.9219875373733013,97.66479381610212,4.6457755118585595
ETTh2,long,010,backward,4,1.5940087587822684,145.84864257659584,-0.22662814125277464
ETTh2,long,010,backward,5,1.5561765988606249,108.48752230115328,-6.906442409041418
ETTh2,long,010,backward,6,1.463158765686043,51.40302272255377,-5.473696780915937
ETTh2,long,010,backward,7,1.9023795645813415,57.05196411719987,-16.54760847931456
ETTh2,long,010,backward,8,1.7038861910150616,161.4519954618719,-37.25492910899936
ETTh2,long,010,backward,9,1.7443067682635474,200.0,0.0
ETTh2,long,010,backward,10,2.26769502385899,200.0,0.0
ETTh2,long,010,backward,11,1.6985274495861336,128.09302139902044,-1.514791438103515
ETTh2,long,010,backward,12,2.106778187731587,32.54641352590473,-0.2954485231028343
ETTh2,long,010,backward,13,1.7445058159986284,26.917652023801743,-0.5215660583866182
ETTh2,long,010,backward,14,1.787616517455167,41.725054416750645,-1.0139467659639152
ETTh2,long,020,backward,0,1.7001278173267815,84.58096317551167,36.784251652008145
ETTh2,long,020,backward,1,1.721406625008071,22.812656751050604,-9.44172643184065
ETTh2,long,020,backward,2,1.6484410801477094,60.51256772997458,-1.4997823052908927
ETTh2,long,020,backward,3,1.5218443843229588,91.44589181122778,-1.5731264930157778
ETTh2,long,020,backward,4,2.397307749534383,146.32210984244625,0.246839124597642
ETTh2,long,020,backward,5,1.4880761832408036,112.6346811000015,-2.7592836101931937
ETTh2,long,020,backward,6,1.4990639947161222,69.42745212297723,12.55073261950752
ETTh2,long,020,backward,7,1.4768713449674904,104.57411539093395,30.97454279441952
ETTh2,long,020,backward,8,1.957106069503497,199.21928352657775,0.5123589557065031
ETTh2,long,020,backward,9,1.559378508601353,200.0,0.0
ETTh2,long,020,backward,10,2.099642158445525,200.0,0.0
ETTh2,long,020,backward,11,1.7529768491855564,105.94295707127621,-23.664855765847747
ETTh2,long,020,backward,12,1.683448750246705,40.82987079079168,7.988008741784114
ETTh2,long,020,backward,13,1.7994809548425363,21.68499104962335,-5.754227032565012
ETTh2,long,020,backward,14,1.6792771302113252,43.515185135061834,0.7761839523472744
ETTh2,long,030,backward,0,1.7749618104799454,19.170323296539856,-28.62638822696367
ETTh2,long,030,backward,1,2.0842057725408947,32.65935756890124,0.4049743860099895
ETTh2,long,030,backward,2,2.2592153983914254,65.90159664519626,3.889246609930794
ETTh2,long,030,backward,3,1.5667608943926088,85.80195975453016,-7.2170585497134
ETTh2,long,030,backward,4,1.8914570389437404,144.46341465463948,-1.6118560632091317
ETTh2,long,030,backward,5,1.661975976804951,112.87337366207544,-2.5205910481192575
ETTh2,long,030,backward,6,1.4663296867930349,42.93541102187702,-13.941308481592685
